INSTITUIÇÃO,ANO,ÁREA,TEMA,SUBTEMA,MODELO DE QUESTÃO,CONCEITO MATADOR,
HIAE,2022,CIRURGIA GERAL,CUIDADOS OPERATÓRIOS,CUIDADOS PÓS OPERATÓRIOS,Caso clínico,Diagnóstico de deiscência de aponeurose e uso de tela,
IAMSPE,2022,CIRURGIA GERAL,COLELITÍASE E OUTRAS DOENÇAS DA VIA BILIAR,EXPLORAÇÃO VIA BILIAR,Multimídia,Identificação do exame (colangio intraop) e explicar sua indicação,
IAMSPE,2022,CIRURGIA GERAL ONCOLÓGICA,CÂNCER GÁSTRICO,MARCADORES TUMORAIS,Questão direta,"Marcadores tumorais do ca gástrico (Ca 72-4, Ca19-9, CEA)",
HIAE,2022,CIRURGIA DO TRAUMA,TRAUMA ABDOMINAL,TRAUMA BACIA,Caso clínico,Tratamento pelo tipo de trauma de bacia (tipo III = tamponamento extraperitoneal),
IAMSPE,2022,CIRURGIA DO TRAUMA,ATENDIMENTO INICIAL AO POLITRAUMATIZADO,TRAUMA CRIANÇA,Questão direta,Administrar derivados de sangue,
HIAE,2023,CIRURGIA DO TRAUMA,ATENDIMENTO INICIAL AO POLITRAUMATIZADO,CHOQUE HEMORRÁGICO,Caso clínico,"Classificação de choque, hipotensão permissiva",
HIAE,2023,CIRURGIA DO TRAUMA,TRAUMA ABDOMINAL,CLASSIFICAÇÃO DE LESÃO ABDOMINAL,Caso clínico,Conduta no trauma hepático grau III,
HIAE,2022,CIRURGIA DO TRAUMA,TRAUMA ABDOMINAL,TRAUMA RENAL,Caso clínico,Trauma renal instável = lapa,
HIAE,2022,CIRURGIA GERAL,HÉRNIAS,HÉRNIAS DE PAREDE ABDOMINAL,Caso clínico,Indicação de tomografia na hérnia encarceirada,
HIAE,2023,CIRURGIA GERAL,HÉRNIAS,HÉRNIAS INGUINAIS,Caso clínico,Recomendações de pós operatório para hérnia inguinal (não levantar mais que 10k nos primeiros 30 dias),
IAMSPE,2022,CIRURGIA GERAL,HÉRNIAS,HÉRNIAS INGUINAIS,Questão direta,Lesões de nervo mais comuns na herniorrafia inguinal (ilioinguinal e iliohipogastrico),
IAMSPE,2022,CIRURGIA GERAL,HÉRNIAS,HÉRNIAS INGUINAIS,Questão direta,Definição anatômica das hérnias inguinais (relacionada aos vasos epigástricos - hérnia oblíqua externa = hérnia indireta),
IAMSPE,2023,CIRURGIA GERAL,PROCEDIMENTOS CIRURGICOS,TÉCNICA CIRÚRGICA,Questão direta,Definição da técnica de sutura da Lambert,
IAMSPE,2023,CIRURGIA GERAL,ABDOMEN AGUDO,APENDICITE,Questão direta,Principal causa de apendicite = fecalito,
IAMSPE,2023,CIRURGIA GERAL,PROCEDIMENTOS CIRÚRGICOS,FIOS,Questão direta,Tipos de fios e qual é o bico que produz o fio de seda,
HIAE,2023,CIRURGIA GERAL,ABDOMEN AGUDO,ABDOMEN AGUDO HEMORRÁGICO,Multimídia,Identificação de um abdome agudo hemorrágico,
HIAE,2023,CIRURGIA GERAL,ABDOMEN AGUDO,ABDOMEN AGUDO OBSTRUTIVO,Multimídia,Ileobiliar no Rx,
HIAE,2023,CIRURGIA GERAL,HÉRNIAS,HÉRNIAS INCISIONAIS,Caso clínico,Hérnia incisional encarceirada na urgencia se corrige com tela não absorvível,
HIAE,2023,UROLOGIA,INFECÇÕES UROLÓGICAS,CISTITE,Caso clínico,Cistite não complicada não precisa de exames,
IAMSPE,2023,CIRURGIA GERAL,PROCEDIMENTOS CIRÚRGICOS,TÉCNICA CIRÚRGICA,Questão direta,Técnica de Wantz para recidivas inguinais,
IAMSPE,2023,UROLOGIA,TUMOR ADRENAL ,INCIDENTALOMA,Questão direta,Incidentaloma geralmente é adenoma,
HIAE,2023,CIRURGIA GERAL,ABDOMEN AGUDO,COLECISTITE,Caso clínico,Murphy positivo = cirurgia de urgência,
UNIFESP,2023,CIRURGIA TORÁCICA,LESÃO DE VIA AÉREA,ESTENOSE DE TRAQUÉIA,Caso clínico,Hipótese de estenose de traquéia = broncoscopia,
UNIFESP,2023,CIRURGIA DO TRAUMA,TRAUMA TORÁCICO,DRENO DE TORÁX,Caso clínico,Pneumomediastino e não melhora do pneumotoráx após primeira drenagem suspeita de lesão de via aérea superior,
UNIFESP,2023,CIRURGIA GERAL,MÉTODOS DIAGNÓSTICO,POCUS,Caso clínico,Achado do POCUS no pneumotoráx = sinal do código de barras,
UNIFESP,2022,CIRURGIA PEDIÁTRICA,CIRURGIA PEDIÁTRICA GERAL,CONSTIPAÇÃO FUNCIONAL,Caso clínico,Constipação funcional x doença de Hirchsprung,
UNIFESP ,2022,CIRURGIA VASCULAR,INSUFICIÊNCIA VENOSA CRÔNICA,DIAGNÓSTICO INSUFICIÊNCIA VENOSA CRÔNICA,Caso clínico,"Classificação de Insuficiência venosa (C3,C4...)",
UNIFESP,2022,CIRURGIA PEDIÁTRICA,GASTROCIRURGIA PEDIÁTRICA,INTUSSUSCEPÇÃO INTESTINAL,Caso clínico,Ultrassonografia no diagnóstico de intussuscepção,
UNIFESP,2022,CIRURGIA VASCULAR,OCLUSÃO ARTERIAL AGUDA,DIAGNÓSTICO OCLUSÃO ARTERIAL AGUDA,Caso clínico,Diagnóstico de embolia arterial e seu tratamento (histórico de FA),
UNIFESP ,2022,CIRURGIA DO TRAUMA,TRAUMA TORÁCICO,POCUS,Caso clínico,Pocus extendido no trauma,
UNIFESP,2022,CIRURGIA GERAL,ABDOMEN AGUDO,ABDOMEN AGUDO INFLAMATÓRIO,Caso clínico,Caso de divierticulite de cólon direito ,
UNIFESP,2022,CIRURGIA PEDIÁTRICA,UROLOGIA PEDIÁTRICA,DUPLICIDADE PIELOURETERAL,Caso clínico,Regra de Weighter Meyer que na duplicidade sempre o elemento superior é obstrutivo,
UNIFESP,2023,UROLOGIA,CÂNCER DE BEXIGA,DIAGNÓSTICO CÂNCER DE BEXIGA,Caso clínico,Hematúria macroscópica assintomática em >50 anos = ca de bexiga,`
UNIFESP,2022,ANESTESIOLOGIA,COMPLICAÇÕES ANESTÉSICAS,CEFALÉIA PÓS RAQUI,Caso clínico,Diagnóstico e tratamento inicial cefaléia pós raqui,
UNIFESP,2022,CIRURGIA VASCULAR ,ANEURISMAS,ANEURISMA DE AORTA ABDOMINAL,Caso clínico,"Tratamento de aneurisma de acodo com o tamanho: menos de 5,5 cm = acompanhamento com US. Angiotc em suspeita de ruptura ou dissecção",
UNIFESP,2023,CIRURGIA GERAL,DISFAGIA E DOENÇAS DO ESÔFAGO,BARRET,Caso clínico,Acompanhamento do barret de acordo com o nível de displasia,
UNIFESP,2022,GASTROENTEROLOGIA,DOENÇA INFLAMATÓRIA INTESTINAL,COMPLICAÇÕES RCU,Caso clínico,RCU + fosfatase alcalina elevada = CEP,
UNIFESP,2022,CIRURGIA PEDIÁTRICA,GASTROCIRURGIA PEDIÁTRICA,MÁ FORMAÇÕES ANORRETAIS / FÍSTULAS PERIANAIS,Caso clínico,Diagnóstico de fístula perianal no lactante = abaulamento com infecção que não melhora com atb,
UNIFESP,2022,ANESTESIOLOGIA,COMPLICAÇÕES ANESTÉSICAS,HIPERTERMIA MALIGNA,Caso clínico,Tratamento hipertermia maligna e suas complicações,
UNIFESP,2023,GASTROENTEROLOGIA,DOENÇA INFLAMATÓRIA INTESTINAL,COMPLICAÇÕES RCU,Caso clínico,Mesmo conceito matador: diarreia + fosfatase alcalina elevada + sinais de insuf hepática,
UNIFESP,2022,UROLOGIA,LITÍASE RENAL/URETERAL,TRATAMENTO URETEROLITÍASE,Caso clínico,Indicação de terapia expulsiva,
UNIFESP,2022,OTORRINOLARINGOLOGIA,FRATURA NASAL,INDICAÇÃO CIRÚRGICA FRATURA NASAL,Caso clínico,"Fratura nasal do trauma = tratamento precoce (<7 dias, idealmente menos de 2 dias)",
UNIFESP,2023,CIRURGIA VASCULAR,TROMBOSE VENOSA PROFUNDA,DIAGNÓSTICO TROMBOSE VENOSA PROFUNDA,Questão direta,"Achado ultrassonográfico de maior acurácia de tvp = diminuição da compressibilidade da veia, avaliada com imagem transversal",
UNIFESP,2023,CIRURGIA PEDIÁTRICA,UROLOGIA PEDIÁTRICA ,DISTOPIA TESTICULAR,Caso clínico,Conduta diante de distopia testicular - investigação de onde está o testículo é um dos primeiros passos,
UNIFESP,2022,CIRURGIA GERAL,ABDOMEN AGUDO,ABDOMEN AGUDO OBSTRUTIVO,Multimídia,Fecaloma diagnóstico pela imagem e conduta,
HIAE,2022,CIRURGIA GERAL,ABDOMEN AGUDO,ABDOMEN AGUDO NÃO CIRÚRGICO,Caso clínico,Avaliação de sinais de alarme para liberar um abdomen agudo,
HIAE,2022,MEDICINA INTENSIVA,MORTE ENCEFÁLICA,PROTOCOLO DE MORTE ENCEFÁLICA,Questão direta,Teste de apneia positivo se PCo2 acima de 55 e ausencia de movimentos respiratórios,
IAMSPE,2023,CIRURGIA GERAL ONCOLÓGICA,TUMOR PERIAMPULAR,TUMOR DE FRANTZ,Questão direta,Características do tumor de Frantz = corpo e cauda,
IAMSPE,2022,CIRURGIA GERAL,DISFAGIA E DOENÇAS DO ESÔFAGO,ACALASIA,Multimídia,Identificar acalásia na seriografia e afirmar o seu principal sintoma = disfagia,
IAMSPE,2023,CIRURGIA GERAL ,CUIDADOS OPERATÓRIOS,CUIDADOS PRÉ OPERATÓRIOS,Questão direta, Classificação de cirurgia limpa x contaminada (herniorrafia inguinal é exemplo de cirurgia limpa),
IAMSPE,2022,CIRURGIA GERAL ONCOLÓGICA,TUMOR PERIAMPULAR,DIAGNÓSTICO TUMOR PERIAMPULAR,Multimídia,Sinal do dupla dilatação ductal em colangio RNM,
HIAE,2022,CIRURGIA GERAL ONCOLÓGICA,TUMOR PERIAMPULAR,TRATAMENTO ICTERÍCIA OBSTRUTIVA,Multimídia,Colestase extrahepática em níveis altos = drenagem ,
IAMSPE,2022,CIRURGIA GERAL,ABDOMEN AGUDO,ABDOMEN AGUDO NÃO CIRÚRGICO,Caso clínico,Avaliação de sinais de alarme para liberar um abdomen agudo,
IAMSPE,2022,CIRURGIA GERAL,CUIDADOS OPERATÓRIOS,NUTRIÇÃO,Caso clínico,Desnutrição grave + cirurgia grande porte = nutrição pre op por 10-14 dias,
